rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore,E_Penalty,event
200.0,291,NUNEZ Isaac,MEX,3.3,4.3660000000000005,-4.0,3.666,0.3660000000000001,ph
201.0,292,RAZO PADILLA Patricio,MEX,2.9,4.566,-4.0,3.466,0.5660000000000003,ph
202.0,352,LIDBECK Filip,SWE,2.2,4.7,-4.0,2.9,0.6999999999999997,ph
1.0,226,PETROUNIAS Eleftherios,GRE,6.3,8.966000000000003,,15.265999999999998,8.965999999999998,sr
2.0,145,ZANETTI Arthur,BRA,6.2,8.833,,15.033,8.832999999999998,sr
3.0,111,TOVMASYAN Artur,ARM,6.1,8.766,,14.866,8.766,sr
4.0,374,RADIVILOV Igor,UKR,6.3,8.433,,14.733,8.433,sr
5.0,108,DAVTYAN Vahagn,ARM,6.1,8.566,,14.666,8.566,sr
6.0,257,LODADIO Marco,ITA,6.3,8.366,,14.666,8.366,sr
7.0,127,SIMONOV Nikita,AZE,6.0,8.633,,14.633,8.633,sr
7.0,334,NAGORNYY Nikita,RUS,6.0,8.633,,14.633,8.633,sr
9.0,130,GOOSSENS Dennis,BEL,6.2,8.333,,14.533,8.332999999999998,sr
9.0,367,COLAK Ibrahim,TUR,6.2,8.333,,14.533,8.332999999999998,sr
11.0,144,SOUZA Caio,BRA,6.0,8.433,,14.433,8.433,sr
12.0,290,de LUNA Fabian,MEX,5.9,8.466000000000001,,14.366,8.466,sr
13.0,333,LANKIN Dmitrii,RUS,6.1,8.2,,14.3,8.200000000000001,sr
14.0,378,MIKULAK Samuel,USA,5.6,8.6,,14.2,8.6,sr
15.0,154,DENG Shudi,CHN,6.0,8.166,,14.166,8.166,sr
16.0,157,XIAO Ruoteng,CHN,5.7,8.433,,14.133,8.433,sr
17.0,220,NGUYEN Marcel,GER,5.8,8.333,,14.133,8.332999999999998,sr
17.0,221,TOBA Andreas,GER,5.8,8.333,,14.133,8.332999999999998,sr
17.0,388,DANG Nam,VIE,5.8,8.333,,14.133,8.332999999999998,sr
20.0,118,HOECK Vinzenz,AUT,6.1,8.033,,14.133,8.033,sr
21.0,208,HALL James,GBR,5.8,8.3,,14.1,8.3,sr
22.0,331,DALALOYAN Artur,RUS,5.9,8.2,,14.1,8.2,sr
23.0,272,TANIGAWA Wataru,JPN,6.0,8.0,,14.0,8.0,sr
24.0,268,KAYA Kazuma,JPN,6.1,7.866,,13.966,7.866,sr
25.0,156,SUN Wei,CHN,5.9,8.033,,13.933,8.033,sr
26.0,219,KLESSING Nick,GER,5.6,8.3,,13.9,8.3,sr
27.0,259,RUSSO Andrea,ITA,5.7,8.2,,13.9,8.2,sr
28.0,273,UCHIMURA Kohei,JPN,5.9,8.0,,13.9,8.0,sr
29.0,107,DAVTYAN Artur,ARM,5.3,8.566,,13.866,8.565999999999999,sr
30.0,369,ONDER Ahmet,TUR,6.0,7.866,,13.866,7.866,sr
31.0,329,MUNTEAN Andrei Vasile,ROU,5.9,7.957999999999998,,13.858,7.958,sr
32.0,260,SARRUGERIO Marco,ITA,5.5,8.333,,13.833,8.333,sr
33.0,155,LIN Chaopan,CHN,5.6,8.232999999999999,,13.833,8.233,sr
34.0,203,GOBAUX Julien,FRA,5.4,8.4,,13.8,8.4,sr
35.0,379,MODI Akash,USA,5.6,8.166,,13.765999999999998,8.165999999999999,sr
36.0,284,PARK Minsoo,KOR,5.7,8.066,,13.765999999999998,8.065999999999999,sr
37.0,105,MOLINARI Federico,ARG,5.9,7.866,,13.765999999999998,7.865999999999998,sr
38.0,162,LUGO Didier,COL,6.1,7.666,,13.765999999999998,7.665999999999999,sr
39.0,269,SHIRAI Kenzo,JPN,5.7,8.033,,13.733,8.033000000000001,sr
40.0,207,FRASER Joe,GBR,5.4,8.3,,13.7,8.299999999999999,sr
41.0,313,YULO Carlos Edriel,PHI,5.5,8.2,,13.7,8.2,sr
41.0,324,BATAGA Cristian Ioan,ROU,5.5,8.2,,13.7,8.2,sr
43.0,187,ABAD Nestor,ESP,5.2,8.466000000000001,,13.666,8.466000000000001,sr
44.0,205,BEVAN Brinn,GBR,5.1,8.5,,13.6,8.5,sr
45.0,296,DEURLOO Bart,NED,5.3,8.3,,13.6,8.3,sr
46.0,190,LOPEZ Ruben,ESP,5.5,8.033,,13.533,8.033,sr
46.0,330,BELYAVSKIY David,RUS,5.5,8.033,,13.533,8.033,sr
48.0,365,ARCA Mustafa,TUR,5.5,8.0,,13.5,8.0,sr
48.0,382,YODER Alec,USA,5.5,8.0,,13.5,8.0,sr
50.0,106,VILLAFANE Daniel,ARG,5.9,7.6,,13.5,7.6,sr
51.0,206,CUNNINGHAM Dominick,GBR,5.4,8.066,,13.466,8.065999999999999,sr
52.0,192,ZAPATA Rayderley,ESP,5.7,7.766,,13.466,7.765999999999999,sr
53.0,149,MORGAN Scott,CAN,5.8,7.666,,13.466,7.6659999999999995,sr
53.0,363,YU Chao Wei,TPE,5.8,7.666,,13.466,7.6659999999999995,sr
55.0,202,FRASCA Loris,FRA,4.9,8.533,,13.433,8.533,sr
56.0,134,VROLIX Jonathan,BEL,5.2,8.232999999999999,,13.433,8.233,sr
57.0,299,SCHMIDT Casimir,NED,5.5,7.933,,13.433,7.933,sr
58.0,343,BAUMANN Christian,SUI,5.1,8.3,,13.4,8.3,sr
59.0,148,COURNOYER Rene,CAN,5.3,8.1,,13.4,8.100000000000001,sr
60.0,348,YUSOF Eddy,SUI,5.5,7.9,,13.4,7.9,sr
61.0,376,VERNIAIEV Oleg,UKR,4.9,8.466000000000001,,13.366,8.466,sr
62.0,139,TSIARESHCHANKA Kiryl,BLR,5.1,8.266,,13.366,8.266,sr
63.0,307,DYSON Devy,NZL,5.3,8.066,,13.366,8.065999999999999,sr
64.0,344,BRAEGGER Pablo,SUI,4.6,8.732999999999999,,13.333,8.733,sr
65.0,216,DAUSER Lukas,GER,5.0,8.333,,13.333,8.333,sr
66.0,189,MIR Nicolau,ESP,5.1,8.232999999999999,,13.333,8.233,sr
67.0,371,HRYKO Vladyslav,UKR,5.5,7.832999999999998,,13.333,7.833,sr
68.0,173,GEORGIOU Marios,CYP,5.0,8.3,,13.3,8.3,sr
69.0,373,PAKHNIUK Petro,UKR,5.1,8.166,,13.265999999999998,8.165999999999999,sr
70.0,223,ILIOPOULOS Nikolaos,GRE,4.7,8.533,,13.233,8.533000000000001,sr
71.0,261,BECKFORD Reiss,JAM,5.1,8.133,,13.233,8.133000000000001,sr
72.0,327,SZABO Rafael,ROU,5.2,8.033,,13.233,8.033000000000001,sr
73.0,380,MOLDAUER Yul,USA,5.7,7.532999999999999,,13.233,7.533,sr
74.0,317,HAN Jong Hyok,PRK,5.5,7.725,,13.225,7.725,sr
75.0,174,GEORGIOU Ilias,CYP,4.6,8.6,,13.2,8.6,sr
76.0,287,TVOROGAL Robert,LTU,4.7,8.5,,13.2,8.5,sr
76.0,298,RIJKEN Frank,NED,4.7,8.5,,13.2,8.5,sr
78.0,256,EDALLI Ludovico,ITA,4.8,8.4,,13.2,8.399999999999999,sr
79.0,350,BROMAN William,SWE,4.9,8.3,,13.2,8.299999999999999,sr
80.0,230,NG Kiu Chung,HKG,6.1,7.1,,13.2,7.1,sr
81.0,282,LEE Junho,KOR,4.8,8.366,,13.166,8.366,sr
82.0,116,REMKES Christopher,AUS,5.1,8.066,,13.166,8.066,sr
83.0,280,KIM Hansol,KOR,5.4,7.766,,13.166,7.766,sr
84.0,346,HEGI Oliver,SUI,4.9,8.232999999999999,,13.133,8.232999999999999,sr
85.0,279,BAE Garam,KOR,4.9,8.2,,13.1,8.2,sr
86.0,161,CALVO MORENO Jossimar Orlando,COL,5.1,7.966,,13.066,7.966000000000001,sr
87.0,285,GUSCINAS Rokas,LTU,5.2,7.866,,13.066,7.8660000000000005,sr
88.0,196,KOSKI Elias,FIN,4.5,8.533,,13.033,8.533,sr
89.0,321,RI Wi Chol,PRK,5.1,7.933,,13.033,7.933,sr
90.0,390,le Thanh Tung,VIE,4.8,8.2,,13.0,8.2,sr
91.0,147,CLAY Zachary,CAN,5.3,7.7,,13.0,7.7,sr
92.0,316,ALMEIDA Bernardo,POR,4.9,8.066,,12.966,8.065999999999999,sr
93.0,274,AZIZOV Ilyas,KAZ,4.4,8.533,,12.933,8.533,sr
94.0,115,MORGANS Mitchell,AUS,4.9,8.033,,12.933,8.033,sr
95.0,358,HSU Ping Chien,TPE,5.6,7.332999999999998,,12.933,7.333,sr
96.0,195,KIRMES Oskar,FIN,4.7,8.166,,12.866,8.166,sr
97.0,129,GENTGES Maxime,BEL,4.9,7.966,,12.866,7.965999999999999,sr
98.0,251,MEDVEDEV Andrey,ISR,4.8,8.033,,12.833,8.033000000000001,sr
99.0,140,BARRETTO JUNIOR Francisco,BRA,4.9,7.933,,12.833,7.933,sr
100.0,175,KRASIAS Michalis,CYP,4.2,8.6,,12.8,8.600000000000001,sr
101.0,383,ABDURAKHIMOV Rasuljon,UZB,4.7,8.1,,12.8,8.100000000000001,sr
102.0,314,AGUIAR BARBOSA Petrix Stevan,POR,5.1,7.7,,12.8,7.700000000000001,sr
